"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"CEACAM6"	"CEACAM6"	"RUNX1T1"	"MARK3"	"MARK3"	"ZXDC"	"CASP7"			"BPHL"	"BPHL"	"NAA25"	"MRS2"	"MRS2"	"NCBP2"	"ARPC1B"	"ARPC1B"	"VAPB"	"IFITM3"	"IFITM3"	"SPP1"	"PKIG"	"PKIG"	"STK32B"	"PRKAG2"	"PRKAG2"	"MRM2"
"DNM1L"	"DNM1L"	"LXN"	"RAB7A"	"RAB7A"	"JMJD6"	"TCP11L2"			"ENTPD1"	"ENTPD1"	"IL17A"	"FRMD8"	"FRMD8"	"ZAP70"	"ABHD12B"	"ABHD12B"	"STAU1"	"UCK2"	"UCK2"	"CTNNAL1"	"HSPBAP1"	"HSPBAP1"	"FBXO36"	"AMBP"	"AMBP"	"SMUG1"
"AURKA"	"AURKA"	"SP140"	"ARHGAP15"	"ARHGAP15"	"TCOF1"	"COPS2"			"IDH1"	"IDH1"	"RPS12"	"UXT"	"UXT"	"EPB41L5"	"SERPINF1"	"SERPINF1"	"SH3TC1"	"RAB13"	"RAB13"	"IFIT2"	"INO80E"	"INO80E"	"LY96"	"PHYH"	"PHYH"	"RNF114"
"CASS4"	"CASS4"	"RAPGEF3"	"MBNL3"	"MBNL3"	"OSBPL3"	"CDK12"			"PARVG"	"PARVG"	"PEX7"	"RAP1B"	"RAP1B"	"CLIP4"	"EIF5A"	"EIF5A"	"DYNLRB1"	"S100A8"	"S100A8"	"GRIA2"	"TPPP"	"TPPP"	"FHIP2B"	"CXCL12"	"CXCL12"	"NQO2"
"PAPOLA"	"PAPOLA"	"DUSP13B"	"ARAF"	"ARAF"	"RAD18"	"ZRSR2"			"WDR89"	"WDR89"	"NME5"	"APOL3"	"APOL3"	"EVA1A"	"PCBD2"	"PCBD2"	"KRT36"	"SNAPIN"	"SNAPIN"	"PLXDC2"	"SPTLC3"	"SPTLC3"	"AP2M1"	"SLC25A11"	"SLC25A11"	"TBCC"
"PCBP4"	"PCBP4"	"KEAP1"	"VDAC3"	"VDAC3"	"NCK2"	"LIMS1"			"SERPINA10"	"SERPINA10"	"FGF1"	"GNL3L"	"GNL3L"	"LRRC42"	"ERAL1"	"ERAL1"	"NSRP1"	"CTDSPL"	"CTDSPL"	"DUSP4"	"PSME3IP1"	"PSME3IP1"	"RPL26"	"PSMD11"	"PSMD11"	"AMOT"
"MRPS33"	"MRPS33"	"RFX3"	"CDC14A"	"CDC14A"	"ATP6AP1"	"PWWP2B"			"GLYR1"	"GLYR1"	"ARL6"	"EPO"	"EPO"	"MECR"	"CDCA8"	"CDCA8"	"UQCR11"	"TM4SF19"	"TM4SF19"	"PPP3CC"	"TRIB1"	"TRIB1"	"ERCC3"	"UBE2D3"	"UBE2D3"	"ELK1"
"PDCD7"	"PDCD7"	"EXD2"	"SENP1"	"SENP1"	"RPS6KA6"	"CNP"			"ERBB2"	"ERBB2"	"FAM162A"	"OSBPL2"	"OSBPL2"	"UAP1"	"FBXO21"	"FBXO21"	"DCTD"	"H2BC1"	"H2BC1"	"ACTRT1"	"DAB1"	"DAB1"	"TMEM183A"	"DDX6"	"DDX6"	"CALU"
"FLT3LG"	"FLT3LG"	"DELE1"	"DUSP13B"	"DUSP13B"	"PALS1"	"ARIH2"			"SH3BGRL3"	"SH3BGRL3"	"PCCB"	"SLC6A6"	"SLC6A6"	"AKR1A1"	"LMO2"	"LMO2"	"C3orf20"	"SCML4"	"SCML4"	"NR4A1"	"KLC2"	"KLC2"	"HESX1"	"GAPDH"	"GAPDH"	"IRF5"
"MAP3K20"	"MAP3K20"	"RNF13"	"OPHN1"	"OPHN1"	"FBXW11"	"CSRNP3"			"SF3B4"	"SF3B4"	"SLC41A3"	"TMEM204"	"TMEM204"	"NSL1"	"NMT1"	"NMT1"	"NINJ1"	"TMEM140"	"TMEM140"	"CDK2"	"TOM1L2"	"TOM1L2"	"NDUFS4"	"AICDA"	"AICDA"	"DUT"
"ORC6"	"ORC6"	"SLC25A24"	"SCGN"	"SCGN"	"ACAP1"	"PTGR3"			"ADPRH"	"ADPRH"	"REEP6"	"FMO5"	"FMO5"	"RPA2"	"SLC22A23"	"SLC22A23"	"ZNF414"	"POLR2K"	"POLR2K"	"SMUG1"	"CHMP6"	"CHMP6"	"FMC1"	"PPARD"	"PPARD"	"DCTD"
"SCFD1"	"SCFD1"	"AKR1B1"	"PUM3"	"PUM3"	"NDE1"	"RNF41"			"AMT"	"AMT"	"PASK"	"PCBD2"	"PCBD2"	"LDAH"	"BPHL"	"BPHL"	"GSTM5"	"PAXX"	"PAXX"	"SNRNP27"	"SEPHS2"	"SEPHS2"	"SLC25A32"	"MAPK14"	"MAPK14"	"NXNL2"
"ECHDC1"	"ECHDC1"	"MTMR2"	"KCNN2"	"KCNN2"	"SDHA"	"KCNIP4"			"HAPLN1"	"HAPLN1"	"PLEKHA3"	"BHMT2"	"BHMT2"	"IFI27L2"	"TPMT"	"TPMT"	"TPGS2"	"CHEK1"	"CHEK1"	"SERPINB6"	"DCTPP1"	"DCTPP1"	"PRKACG"	"HBEGF"	"HBEGF"	"SAFB2"
"CREM"	"CREM"	"SRRT"	"CFHR2"	"CFHR2"	"PTGS2"	"SEPTIN10"			"C9orf72"	"C9orf72"	"PRRX1"	"TPT1"	"TPT1"	"GRIA2"	"STAT4"	"STAT4"	"CD36"	"TEX30"	"TEX30"	"CCDC32"	"NPLOC4"	"NPLOC4"	"PGAP4"	"CCNG1"	"CCNG1"	"OSBPL2"
"SIRT1"	"SIRT1"	"OGFOD1"	"DELE1"	"DELE1"	"PICALM"	"CD247"			"INIP"	"INIP"	"MECR"	"DOCK2"	"DOCK2"	"TTLL2"	"OLA1"	"OLA1"	"STX11"	"ATP5F1A"	"ATP5F1A"	"COPB1"	"FES"	"FES"	"POLL"	"IL4"	"IL4"	"THEMIS2"
"HNRNPH3"	"HNRNPH3"	"REM1"	"LYRM2"	"LYRM2"	"TEAD2"	"AKT1S1"			"INTS4"	"INTS4"	"RGS2"	"AGO4"	"AGO4"	"NR2C1"	"SDSL"	"SDSL"	"PIGC"	"CARNMT1"	"CARNMT1"	"PHF20L1"	"S100A7A"	"S100A7A"	"COX11"	"SKP1"	"SKP1"	"CASZ1"
"CDC7"	"CDC7"	"EPB41L1"	"RBM22"	"RBM22"	"TUBE1"				"KCNA6"	"KCNA6"	"COQ6"	"TPGS2"	"TPGS2"	"SOCS2"	"USP3"	"USP3"	"STXBP1"	"RPL30"	"RPL30"	"SAMD10"	"ADSS1"	"ADSS1"	"CYB5A"	"CPEB4"	"CPEB4"	"COX4I1"
"TSPAN15"	"TSPAN15"	"C3orf18"	"FTL"	"FTL"	"TIPIN"				"DPYSL4"	"DPYSL4"	"MTRF1"	"DRAM1"	"DRAM1"	"RNF170"	"PTRH2"	"PTRH2"	"SLC22A7"	"C8A"	"C8A"	"HSD17B3"	"SHTN1"	"SHTN1"	"RBPJ"	"IL1A"	"IL1A"	"C3orf20"
"P2RX6"	"P2RX6"	"CMTM1"	"SRRT"	"SRRT"	"TTC38"				"ATP5F1A"	"ATP5F1A"	"EXOSC8"	"VPS36"	"VPS36"	"COPS5"	"MINK1"	"MINK1"	"NARS2"	"DHRS1"	"DHRS1"	"NDUFA2"	"UBQLN2"	"UBQLN2"	"TRABD"	"ZAP70"	"ZAP70"	"SLC6A6"
"BCL2L13"	"BCL2L13"	"MAEA"	"LPCAT2"	"LPCAT2"	"ADD2"				"BUB3"	"BUB3"	"TARDBP"	"HUS1"	"HUS1"	"TRMT1L"	"WDR45B"	"WDR45B"	"SDCBP"	"RHPN1"	"RHPN1"	"NINJ1"	"DRICH1"	"DRICH1"	"TPD52L3"	"EVA1A"	"EVA1A"	"TUBG1"
"LGALS2"	"LGALS2"	"SPG21"	"PTHLH"	"PTHLH"	"ANKRD13A"				"ZNF18"	"ZNF18"	"IAPP"	"CCL21"	"CCL21"	"GJB6"	"CHAC2"	"CHAC2"	"SLAIN1"	"H2BC5"	"H2BC5"	"PEX11B"	"MYL6B"	"MYL6B"	"TRAPPC12"	"GNLY"	"GNLY"	"NINJ1"
"LGALS1"	"LGALS1"	"RAPGEF4"	"DDX18"	"DDX18"	"NMRK2"				"NAT2"	"NAT2"	"IFT81"	"IFNA21"	"IFNA21"	"PFDN5"	"TRIM43"	"TRIM43"	"SEPTIN12"	"NAE1"	"NAE1"	"RHPN2"	"S100A2"	"S100A2"	"FRMD3"	"STK16"	"STK16"	"RTBDN"
"GCAT"	"GCAT"	"HNRNPC"	"MAPKAPK5"	"MAPKAPK5"	"EXOSC5"				"CARNMT1"	"CARNMT1"	"BTN2A2"	"PIM1"	"PIM1"	"CDK2"	"DLX1"	"DLX1"	"RAB40B"	"C16orf86"	"C16orf86"	"LGALS3"	"ZNF695"	"ZNF695"	"IQCF1"	"RALGPS2"	"RALGPS2"	"JCHAIN"
"CABP7"	"CABP7"	"TGM1"	"CMTM1"	"CMTM1"	"POLD3"				"CDK20"	"CDK20"	"SIRT5"	"TCF19"	"TCF19"	"TBC1D20"	"CPLX2"	"CPLX2"	"MOB3C"	"TFF3"	"TFF3"	"TRIM21"	"FAM114A1"	"FAM114A1"	"CNP"	"FAM20B"	"FAM20B"	"FCRL2"
"ABHD4"	"ABHD4"	"AAAS"	"MRPS33"	"MRPS33"	"ACTN2"				"PPP2R2B"	"PPP2R2B"	"XPO5"	"CFAP300"	"CFAP300"	"AHDC1"	"TERF1"	"TERF1"	"PROK1"	"CAPN2"	"CAPN2"	"CCT6B"	"IRAK4"	"IRAK4"	"MSL2"	"WARS2"	"WARS2"	"TESMIN"
"FKBP3"	"FKBP3"	"CRAT"	"NDUFB2"	"NDUFB2"	"FGFR1"				"ZFAND3"	"ZFAND3"	"NDUFA1"	"DYNC2LI1"	"DYNC2LI1"	"SIX1"	"CDKN2B"	"CDKN2B"	"MPC2"	"MNDA"	"MNDA"	"INPP5K"	"GPATCH3"	"GPATCH3"	"TMEM167A"	"UAP1"	"UAP1"	"BHMT2"
"CGRRF1"	"CGRRF1"	"NANS"	"HNRNPC"	"HNRNPC"	"TULP3"				"NECAP2"	"NECAP2"	"TNFSF14"	"SLC3A1"	"SLC3A1"	"PRKRIP1"	"MFSD14B"	"MFSD14B"	"UCK2"	"ALB"	"ALB"	"ERAL1"	"RXRB"	"RXRB"	"TMEM70"	"AKR1A1"	"AKR1A1"	"ZMYM5"
"ASB2"	"ASB2"	"CYP26A1"	"AGO1"	"AGO1"	"PCM1"				"SLC13A3"	"SLC13A3"	"BPIFB1"	"HADH"	"HADH"	"WDFY4"	"TAOK2"	"TAOK2"	"SMYD2"	"UVSSA"	"UVSSA"	"DUSP26"	"CARD18"	"CARD18"	"IMP3"	"MYB"	"MYB"	"DCLK1"
"SRSF5"	"SRSF5"	"HSD3B7"	"COMT"	"COMT"	"CLUL1"				"H2BC5"	"H2BC5"	"PSMB2"	"IGSF6"	"IGSF6"	"IVD"	"KCTD14"	"KCTD14"	"RAB13"	"METAP1"	"METAP1"	"PPHLN1"	"CCL3L3"	"CCL3L3"	"MCMDC2"	"SGK1"	"SGK1"	"MED6"
"VRK1"	"VRK1"	"BCL7C"	"CYP26A1"	"CYP26A1"	"RUNX1T1"				"NDUFS2"	"NDUFS2"	"PROZ"	"MYLK3"	"MYLK3"	"CSRP3"	"NEK7"	"NEK7"	"SNAPIN"	"DNAJB14"	"DNAJB14"	"RTL8C"	"RHBDD2"		"HOATZ"	"NEK6"	"NEK6"	"TPGS2"
"PPP4R3A"	"PPP4R3A"	"MAPK1"	"MRPS18A"	"MRPS18A"	"MKNK1"				"TOMM40L"	"TOMM40L"	"OMD"	"ADAD2"	"ADAD2"	"RPAIN"	"MERTK"	"MERTK"	"SLC39A1"	"STARD4"	"STARD4"	"CDCA8"	"PEX3"		"TMEM186"	"IFI27L2"	"IFI27L2"	"NPL"
"YY1"	"YY1"	"EIF3L"	"CDC7"	"CDC7"	"PAFAH1B3"				"SNF8"	"SNF8"	"FBXL12"	"PCTP"	"PCTP"	"ABHD17A"	"C16orf74"	"C16orf74"	"CDCA7"	"BAALC"	"BAALC"	"CAPRIN1"	"USP28"		"ZDHHC11"	"ABCD4"	"ABCD4"	"TOR1A"
"APEX1"	"APEX1"	"HMOX1"	"OCEL1"	"OCEL1"	"DNM2"				"GIP"	"GIP"	"PRKRIP1"	"ABCA8"	"ABCA8"	"ADRM1"	"OTULIN"	"OTULIN"	"RASA1"	"TRMT10B"	"TRMT10B"	"EIF4E2"	"PTCD2"		"RPL14"	"PPP4R4"	"PPP4R4"	"PNPT1"
"DHRS2"	"DHRS2"	"TSPO"	"BCL7C"	"BCL7C"	"DNAAF6"				"PTMS"	"PTMS"	"WDFY4"	"RMC1"	"RMC1"	"HSD17B3"	"AZIN1"	"AZIN1"	"IL9"	"PKNOX2"	"PKNOX2"	"WDR33"	"EYA2"		"HMGB1"	"EIF2B2"	"EIF2B2"	"CARF"
"RIMS4"	"RIMS4"	"RASD2"	"CIRBP"	"CIRBP"	"DLG3"				"GATD3"	"GATD3"	"OLFM1"	"POMGNT2"	"POMGNT2"	"CAPN7"	"BRAF"	"BRAF"	"SCML4"	"STX3"	"STX3"	"TPMT"	"MRPS34"		"SERPINA3"	"IFIT2"	"IFIT2"	"ARHGAP24"
"TUBB1"	"TUBB1"	"KIAA0930"	"NDUFB7"	"NDUFB7"	"RNF13"				"PPP1R16A"	"PPP1R16A"	"C3orf20"	"NKD2"	"NKD2"	"C3orf20"	"TOMM40L"	"TOMM40L"	"IFNA5"	"DDB1"	"DDB1"	"IL18BP"	"RAB7A"		"ZNF79"	"NR2C1"	"NR2C1"	"PPP3CA"
"CSNK2A1"	"CSNK2A1"	"RANGAP1"	"TECR"	"TECR"	"PIBF1"				"GBP2"	"GBP2"	"TUBG1"	"CPLX2"	"CPLX2"	"TUBG1"	"CSRP1"	"CSRP1"	"ACTL7B"	"REEP4"	"REEP4"	"PRCP"	"PTHLH"		"HRH1"	"RNF170"	"RNF170"	"NUP58"
"CST4"	"CST4"	"CNIH1"	"POLR2E"	"POLR2E"	"PPIE"				"PEX19"	"PEX19"	"TMEM204"	"EGFR"	"EGFR"	"BARX1"	"CCDC28B"	"CCDC28B"	"MTG1"	"HJV"	"HJV"	"CYP2C8"	"GANAB"		"ZSCAN26"	"TRMT1L"	"TRMT1L"	"ACVRL1"
"PPP1R16B"	"PPP1R16B"	"SERPINA4"	"TRMT2A"	"TRMT2A"	"KIF3C"				"TGM4"	"TGM4"	"NINJ1"	"IL2RG"	"IL2RG"	"CCT6B"	"CFAP410"	"CFAP410"	"CHEK1"	"CXCL11"	"CXCL11"	"MMAB"	"TGM1"		"RPL37A"	"CRY2"	"CRY2"	"TMX1"
"MAP1LC3A"	"MAP1LC3A"	"ZFYVE21"	"OSM"	"OSM"	"AK6"				"CAMKV"	"CAMKV"	"RTBDN"	"IGSF1"	"IGSF1"	"HSPBP1"	"STX5"	"STX5"	"TIMM8B"	"P2RY12"	"P2RY12"	"MORN3"	"MRPS18A"		"CYP2A7"	"PEX16"	"PEX16"	"MYLK3"
"RBFA"	"RBFA"	"CINP"	"YPEL1"	"YPEL1"	"MECOM"				"ABCE1"	"ABCE1"	"INPP5K"	"TRIM55"	"TRIM55"	"CDK7"	"PARS2"	"PARS2"	"LYZL2"	"ELSPBP1"	"ELSPBP1"	"DCAF5"	"MACROH2A2"		"SZT2"	"PAEP"	"PAEP"	"SLC2A5"
"RIOK3"	"RIOK3"	"EMC9"	"TOP3B"	"TOP3B"	"CTTN"				"SLC25A46"	"SLC25A46"	"JCHAIN"	"GSTO1"	"GSTO1"	"MEIS2"	"LCE3D"	"LCE3D"	"TEX30"	"CENPX"	"CENPX"	"KIFC3"	"CIRBP"		"DDX39B"	"DDX39A"	"DDX39A"	"PROK1"
"GLRA2"	"GLRA2"	"PSME2"	"DNAL4"	"DNAL4"	"DDHD2"				"TMEM71"	"TMEM71"	"PCNA"	"FSIP1"	"FSIP1"	"GSTM3"	"CXCL3"	"CXCL3"	"CPB1"	"SPATA24"	"SPATA24"	"MEAK7"	"OSM"		"RORB"	"AGO2"	"AGO2"	"RGS5"
"PHEX"	"PHEX"	"PCIF1"	"C22orf31"	"C22orf31"	"NME8"				"PGM2L1"	"PGM2L1"	"PEMT"	"LMNTD1"	"LMNTD1"	"PPHLN1"	"SPDYA"	"SPDYA"	"FBXO36"	"ARL6IP1"	"ARL6IP1"	"RPTOR"	"CYB5R3"		"PCDHA2"	"NDP"	"NDP"	"POGZ"
"CDK16"	"CDK16"	"TRPC4AP"	"HMOX1"	"HMOX1"	"SEPHS1"				"BORCS5"	"BORCS5"	"ZFC3H1"	"ACMSD"	"ACMSD"	"CCNH"	"TPRA1"	"TPRA1"	"PDZD9"	"TMEM43"	"TMEM43"	"GRB7"	"RAB5IF"		"MRPL20"	"GTF2F1"	"GTF2F1"	"S100A7"
"TIMP1"	"TIMP1"	"RAB5IF"	"TSPO"	"TSPO"	"MRPL28"				"CEP57"	"CEP57"	"DPH6"	"SREK1"	"SREK1"	"PRH2"	"TAGAP"	"TAGAP"	"PABIR3"	"ZNF581"	"ZNF581"	"CAPN10"	"SPEF1"		"COA8"	"NCLN"	"NCLN"	"C1orf43"
"KLF8"	"KLF8"	"DOK5"	"PDGFB"	"PDGFB"	"ERO1B"				"CFAP52"	"CFAP52"	"GSTM3"	"KCTD18"	"KCTD18"	"ACRV1"	"YWHAZ"	"YWHAZ"	"NMNAT2"	"SERF1A"	"SERF1A"	"ZNF593"	"CELF4"		"H2BC9"	"THRA"	"THRA"	"UBR3"
"ARMCX3"	"ARMCX3"	"DIDO1"	"ZMAT5"	"ZMAT5"	"PIGS"				"LDHC"	"LDHC"	"PPHLN1"	"DCK"	"DCK"	"PSAT1"	"RPP25L"	"RPP25L"	"DHRS1"	"MCRIP2"	"MCRIP2"	"JTB"	"MAN2B1"		"H2BC3"	"CSN1S1"	"CSN1S1"	"CTDSP1"
"PSMD7"	"PSMD7"	"PTK6"	"IFT27"	"IFT27"	"PSMC5"				"DDB1"	"DDB1"	"FST"	"FGF18"	"FGF18"	"SRPK2"	"ZMAT4"	"ZMAT4"	"CCNB2"	"GRK2"	"GRK2"	"HAX1"	"RETN"			"TRAP1"	"TRAP1"	"TAGLN3"
"NECAB2"	"NECAB2"	"TRIB3"	"KIAA0930"	"KIAA0930"	"SH3BP2"				"CCDC126"	"CCDC126"	"ACRV1"	"SH3RF2"	"SH3RF2"	"CCT7"	"STOML2"	"STOML2"	"NAE1"	"GLRX"	"GLRX"	"TRIM43"	"HOXA1"			"AHDC1"	"AHDC1"	"POMZP3"
"HSDL1"	"HSDL1"	"SEC23B"	"TRMU"	"TRMU"	"CASS4"				"INO80E"	"INO80E"	"CAPRIN1"	"ARMC12"	"ARMC12"	"GLUL"	"SPACA9"	"SPACA9"	"C16orf86"	"SULT1B1"	"SULT1B1"	"PLAC8"	"CPVL"			"RGS13"	"RGS13"	"IL2RG"
"ELOB"	"ELOB"	"MAPRE1"	"SDR39U1"	"SDR39U1"	"GNA11"				"CENPX"	"CENPX"	"TSPAN31"	"BRAF"	"BRAF"	"DNAJB2"	"ISCA2"	"ISCA2"	"BRSK1"	"PIGG"	"PIGG"	"TNIP1"	"EPHB6"			"FBXL12"	"FBXL12"	"IGSF1"
"GGA2"	"GGA2"	"PXMP4"	"CDKL1"	"CDKL1"	"CHGB"				"ASPSCR1"	"ASPSCR1"	"ACVR1B"	"FHIP2B"	"FHIP2B"	"SPRY2"	"RAB8B"	"RAB8B"	"CCDC12"	"GCSAM"	"GCSAM"	"MRPS28"	"ZKSCAN1"			"RNF112"	"RNF112"	"DNAJC5B"
"BLOC1S6"	"BLOC1S6"	"ACOT8"	"ATP6V1D"	"ATP6V1D"	"OTUB2"				"TRABD"	"TRABD"	"CCT7"	"SNF8"	"SNF8"	"IL1RN"	"HDGFL3"	"HDGFL3"	"LY6E"	"C3orf33"	"C3orf33"	"GSN"	"URGCP"			"IVD"	"IVD"	"MIGA2"
"PLAT"	"PLAT"	"APMAP"	"ALKBH1"	"ALKBH1"	"NECAP1"				"KYAT1"	"KYAT1"	"MRPL47"	"ACTC1"	"ACTC1"	"RALGPS1"	"TMPRSS5"	"TMPRSS5"	"COX7A1"	"TOMM5"	"TOMM5"	"MIGA2"	"CA9"			"ARPP19"	"ARPP19"	"CCDC82"
"IL7"	"IL7"	"LIPG"	"SERPINA4"	"SERPINA4"	"ARHGAP4"				"PDE7B"	"PDE7B"	"RALGPS1"	"SPRR2G"	"SPRR2G"	"ANGPTL2"	"TEPSIN"	"TEPSIN"	"SPC24"	"ZSCAN2"	"ZSCAN2"	"CNDP1"	"IL26"			"SUMF2"	"SUMF2"	"GLB1L2"
"ARMC1"	"ARMC1"	"CSTF2"	"ZFYVE21"	"ZFYVE21"	"BLVRB"				"CSDC2"	"CSDC2"	"DCTN3"	"NAE1"	"NAE1"	"BPHL"	"TPM4"	"TPM4"	"ZG16B"	"TALDO1"	"TALDO1"	"DDX4"	"AICDA"			"PIMREG"	"PIMREG"	"TMEM138"
"CHRAC1"	"CHRAC1"	"NXT2"	"ZC3H14"	"ZC3H14"	"PAPOLA"				"NABP1"	"NABP1"	"FRS3"	"TPPP3"	"TPPP3"	"PRCP"	"CPLX1"	"CPLX1"	"MAGOH"	"KCNA2"	"KCNA2"	"CPB1"	"SUB1"			"GADD45G"	"GADD45G"	"LYZL2"
"ERI1"	"ERI1"	"XIAP"	"DHRS2"	"DHRS2"	"NUDC"				"ZCCHC12"	"ZCCHC12"	"FGFBP2"	"C16orf86"	"C16orf86"	"TTPA"	"PGM2"	"PGM2"	"PPM1L"	"NIM1K"	"NIM1K"	"SMARCA5"	"TARS1"			"MRPL34"	"MRPL34"	"NOPCHAP1"
"NFKBIB"	"NFKBIB"	"FMR1"	"PCK2"	"PCK2"	"TFAP4"				"LARP7"	"LARP7"	"PRCP"	"GNE"	"GNE"	"RTF1"	"NFU1"	"NFU1"	"ICOS"	"GCC1"	"GCC1"	"C16orf74"	"MACROH2A1"			"RTN4IP1"	"RTN4IP1"	"TMEM263"
"SNRNP70"	"SNRNP70"	"SLC35A2"	"PRORP"	"PRORP"	"FLT3LG"				"C3orf33"	"C3orf33"	"PI15"	"PIERCE1"	"PIERCE1"	"SEC31A"	"MT1B"	"MT1B"	"IL17RE"	"H2AC6"	"H2AC6"	"FLCN"	"EPB41L5"			"UBA1"	"UBA1"	"PTPRO"
"DMPK"	"DMPK"	"PGK1"	"EMC9"	"EMC9"	"OSBPL8"				"SPSB4"	"SPSB4"	"NEK1"	"PWWP3A"	"PWWP3A"	"BMPR1B"	"GPS1"	"GPS1"	"HPS3"	"RAP2B"	"RAP2B"	"OXNAD1"	"GPX7"			"CAPN7"	"CAPN7"	"BAG3"
"TLE6"	"TLE6"	"ZDHHC15"	"PSME2"	"PSME2"	"ZC3HC1"				"UBQLNL"	"UBQLNL"	"MMP13"	"ORAI2"	"ORAI2"	"ZNF740"	"DCXR"	"DCXR"	"MEAF6"	"TRIML1"	"TRIML1"	"SAMD8"	"ARMC2"			"BARX1"	"BARX1"	"GLT1D1"
"ASF1B"	"ASF1B"	"LYRM1"	"RIMS4"	"RIMS4"	"PSME1"				"CABP4"	"CABP4"	"ANXA7"	"KASH5"	"KASH5"	"DCAF5"	"TMED10"	"TMED10"	"STARD4"	"COLEC10"	"COLEC10"	"TMED6"	"MAPKAP1"			"RAF1"	"RAF1"	"LMNTD1"
"ETFB"	"ETFB"	"CCL22"	"TRIB3"	"TRIB3"	"SNAP23"				"ZSCAN2"	"ZSCAN2"	"AP1AR"	"DBF4B"	"DBF4B"	"TLE3"	"SGCD"	"SGCD"	"PDSS2"	"H2BC21"	"H2BC21"	"APPL1"	"MRPS14"			"UTP3"	"UTP3"	"NRSN1"
"TYK2"	"TYK2"	"CCL17"	"POFUT1"	"POFUT1"	"TEKT2"				"WDR73"	"WDR73"	"RGS3"	"STX5"	"STX5"	"TPM1"	"EXOSC1"	"EXOSC1"	"COX6C"	"PRR30"	"PRR30"	"C9orf43"	"SEC16B"			"PCBD2"	"PCBD2"	"CPB1"
"RAB3D"	"RAB3D"	"HCFC1R1"	"PXMP4"	"PXMP4"	"NUP50"				"CAPZA3"	"CAPZA3"	"MMAB"	"PDZK1IP1"	"PDZK1IP1"	"RLBP1"	"PRNP"	"PRNP"	"METTL27"	"NAP1L2"	"NAP1L2"	"HLCS"	"BBS9"			"VCF1"	"VCF1"	"BCL2L11"
"GCDH"	"GCDH"	"MPG"	"WFDC2"	"WFDC2"	"CDC45"				"NT5DC1"	"NT5DC1"	"SLAIN1"	"SPZ1"	"SPZ1"	"SLC5A2"	"NABP1"	"NABP1"	"PKNOX2"	"IFNA2"	"IFNA2"	"BEND5"	"GIPC1"			"TMEM254"	"TMEM254"	"PITPNC1"
"TFPT"	"TFPT"	"HAGHL"	"ACOT8"	"ACOT8"	"ADA2"				"CTC1"	"CTC1"	"RDH12"	"CARTPT"	"CARTPT"	"RETREG3"	"MRPL11"	"MRPL11"	"PRDX3"	"UROS"	"UROS"	"TFB2M"	"MMP19"			"IMPA1"	"IMPA1"	"CFAP161"
"H2AZ2"	"H2AZ2"	"CRYM"	"RBFA"	"RBFA"	"ECHDC1"				"ABAT"	"ABAT"	"DCAF5"	"CDK5"	"CDK5"	"GRB7"	"TMEM167A"	"TMEM167A"	"TMEM100"	"TMEM120A"	"TMEM120A"	"TRIM17"	"NRN1"			"BMAL1"	"BMAL1"	"NAA11"
"MET"	"MET"	"CLUAP1"	"LIPG"	"LIPG"	"CBX5"				"RUVBL2"	"RUVBL2"	"TRIM65"	"WNK2"	"WNK2"	"SCYL1"	"NPPA"	"NPPA"	"B2M"	"PTPN1"	"PTPN1"	"TAFA4"	"GRK4"			"ZFC3H1"	"ZFC3H1"	"TIMP4"
"BRAT1"	"BRAT1"	"AQP9"	"CSTF2"	"CSTF2"	"DHPS"				"HMCES"	"HMCES"	"EMP3"	"SPACA9"	"SPACA9"	"C1orf162"	"WDR25"	"WDR25"	"PATL1"	"ADH1B"	"ADH1B"	"ICOS"	"LAMP5"			"ELP3"	"ELP3"	"ARMC12"
"CRHR2"	"CRHR2"	"RASL12"	"AMMECR1"	"AMMECR1"	"SIRT1"				"P4HB"	"P4HB"	"MOB3C"	"SPATA19"	"SPATA19"	"NME7"	"DIRAS1"	"DIRAS1"	"MS4A6E"	"CSF2RA"	"CSF2RA"	"CXCL5"	"XRCC3"			"GSTM3"	"GSTM3"	"RAB28"
"PDAP1"	"PDAP1"	"FAH"	"XIAP"	"XIAP"	"ABL1"				"POMK"	"POMK"	"C1orf162"	"SGPL1"	"SGPL1"	"NPHP1"	"TYMS"	"TYMS"	"DOLPP1"	"OGA"	"OGA"	"SPDYA"	"DNAJB9"			"PPHLN1"	"PPHLN1"	"SPRR2G"
"AGFG2"	"AGFG2"	"ZFAND1"	"NAA10"	"NAA10"	"SH3GLB1"				"AKR1C1"	"AKR1C1"	"DYRK3"	"LMO1"	"LMO1"	"CDCA7"	"AURKB"	"AURKB"	"NFKBID"	"HMGN2"	"HMGN2"	"TPRA1"	"PIMREG"			"CCNH"	"CCNH"	"ZFYVE28"
